,error,type,id,key,value,action
167,deprecated,node,1067364648,building,entrance,update_tag
168,deprecated,node,1067364651,building,entrance,update_tag
169,deprecated,node,1067364675,building,entrance,update_tag
170,deprecated,node,1067364698,building,entrance,update_tag
171,deprecated,node,1067364701,building,entrance,update_tag
172,deprecated,node,1067364710,building,entrance,update_tag
173,deprecated,node,1067364718,building,entrance,update_tag
174,deprecated,node,1067364730,building,entrance,update_tag
175,deprecated,node,1067364732,building,entrance,update_tag
176,deprecated,node,1067364734,building,entrance,update_tag
177,deprecated,node,1067364752,building,entrance,update_tag
178,deprecated,node,1067364762,building,entrance,update_tag
179,deprecated,node,1067364765,building,entrance,update_tag
180,deprecated,node,1067364778,building,entrance,update_tag
181,deprecated,node,1067364787,building,entrance,update_tag
182,deprecated,node,1067364796,building,entrance,update_tag
183,deprecated,node,1067364806,building,entrance,update_tag
184,deprecated,node,1067364810,building,entrance,update_tag
185,deprecated,node,1067364820,building,entrance,update_tag
186,deprecated,node,1067364821,building,entrance,update_tag
187,deprecated,node,1067364826,building,entrance,update_tag
188,deprecated,node,1067364832,building,entrance,update_tag
189,deprecated,node,1067364838,building,entrance,update_tag
190,deprecated,node,1067364843,building,entrance,update_tag
191,deprecated,node,1067364855,building,entrance,update_tag
192,deprecated,node,1067364858,building,entrance,update_tag
193,deprecated,node,1067364876,building,entrance,update_tag
194,deprecated,node,1067364877,building,entrance,update_tag
195,deprecated,node,1067364879,building,entrance,update_tag
196,deprecated,node,1067364880,building,entrance,update_tag
197,deprecated,node,1067364884,building,entrance,update_tag
198,deprecated,node,1067364885,building,entrance,update_tag
199,deprecated,node,1067364891,building,entrance,update_tag
200,deprecated,node,1067364895,building,entrance,update_tag
201,deprecated,node,1067364910,building,entrance,update_tag
202,deprecated,node,1067364912,building,entrance,update_tag
203,deprecated,node,1067364919,building,entrance,update_tag
204,deprecated,node,1067364925,building,entrance,update_tag
205,deprecated,node,1067364931,building,entrance,update_tag
206,deprecated,node,1067364933,building,entrance,update_tag
207,deprecated,node,1067364969,building,entrance,update_tag
208,deprecated,node,1067364986,building,entrance,update_tag
209,deprecated,node,1067365104,building,entrance,update_tag
210,deprecated,node,1067365105,building,entrance,update_tag
211,deprecated,node,1067365106,building,entrance,update_tag
212,deprecated,node,1067365121,building,entrance,update_tag
213,deprecated,node,1067365135,building,entrance,update_tag
214,deprecated,node,1067370919,building,entrance,update_tag
215,deprecated,node,1067370968,building,entrance,update_tag
216,deprecated,node,1067371005,building,entrance,update_tag
217,deprecated,node,1067371040,building,entrance,update_tag
218,deprecated,node,1067371062,building,entrance,update_tag
219,deprecated,node,1067371165,building,entrance,update_tag
220,deprecated,node,1067371170,building,entrance,update_tag
221,deprecated,node,1067371196,building,entrance,update_tag
222,deprecated,node,1067371217,building,entrance,update_tag
223,deprecated,node,1067371237,building,entrance,update_tag
224,deprecated,node,1067371294,building,entrance,update_tag
225,deprecated,node,1067371321,building,entrance,update_tag
226,deprecated,node,1067371364,building,entrance,update_tag
227,deprecated,node,1067371372,building,entrance,update_tag
228,deprecated,node,1067371417,building,entrance,update_tag
229,deprecated,node,1067371445,building,entrance,update_tag
230,deprecated,node,1067371489,building,entrance,update_tag
231,deprecated,node,1067371538,building,entrance,update_tag
232,deprecated,node,1067371560,building,entrance,update_tag
233,deprecated,node,1067371587,building,entrance,update_tag
234,deprecated,node,1067371592,building,entrance,update_tag
235,deprecated,node,1067371657,building,entrance,update_tag
236,deprecated,node,1067371660,building,entrance,update_tag
237,deprecated,node,1067371680,building,entrance,update_tag
238,deprecated,node,1067371743,building,entrance,update_tag
239,deprecated,node,1067371761,building,entrance,update_tag
240,deprecated,node,1067371772,building,entrance,update_tag
241,deprecated,node,1067371795,building,entrance,update_tag
242,deprecated,node,1067380520,building,entrance,update_tag
243,deprecated,node,1067380587,building,entrance,update_tag
244,deprecated,node,1067380592,building,entrance,update_tag
245,deprecated,node,1067380598,building,entrance,update_tag
246,deprecated,node,1067380611,building,entrance,update_tag
247,deprecated,node,1067380629,building,entrance,update_tag
248,deprecated,node,1067380643,building,entrance,update_tag
249,deprecated,node,1067380669,building,entrance,update_tag
250,deprecated,node,1067380671,building,entrance,update_tag
251,deprecated,node,1067380688,building,entrance,update_tag
252,deprecated,node,1067380753,building,entrance,update_tag
253,deprecated,node,1067380770,building,entrance,update_tag
254,deprecated,node,1067380818,building,entrance,update_tag
255,deprecated,node,1067380824,building,entrance,update_tag
256,deprecated,node,1067380839,building,entrance,update_tag
257,deprecated,node,1067380853,building,entrance,update_tag
258,deprecated,node,1067380861,building,entrance,update_tag
259,deprecated,node,1067380872,building,entrance,update_tag
260,deprecated,node,1067380879,building,entrance,update_tag
261,deprecated,node,1067380890,building,entrance,update_tag
262,deprecated,node,1067380900,building,entrance,update_tag
263,deprecated,node,1093836146,power,sub_station,update_tag
264,deprecated,node,1102535831,power,sub_station,update_tag
265,deprecated,node,1150920326,power,sub_station,update_tag
266,deprecated,node,1188979895,power,sub_station,update_tag
267,deprecated,node,1199901549,power,sub_station,update_tag
268,deprecated,node,1200248411,power,station,update_tag
269,deprecated,node,1209119989,power,sub_station,update_tag
270,deprecated,node,1209421901,power,sub_station,update_tag
271,deprecated,node,1210341334,power,sub_station,update_tag
272,deprecated,node,1210341952,power,sub_station,update_tag
273,deprecated,node,1210342644,power,sub_station,update_tag
274,deprecated,node,1210342792,power,sub_station,update_tag
275,deprecated,node,1219234260,power,sub_station,update_tag
276,deprecated,node,1226470912,power,sub_station,update_tag
277,deprecated,node,1226471491,power,sub_station,update_tag
278,deprecated,node,1226530390,power,sub_station,update_tag
279,deprecated,node,1226530409,power,sub_station,update_tag
280,deprecated,node,1227801455,power,sub_station,update_tag
281,deprecated,node,1227972128,power,sub_station,update_tag
282,deprecated,node,1227972236,power,sub_station,update_tag
283,deprecated,node,1227987609,power,sub_station,update_tag
284,deprecated,node,1228999271,power,sub_station,update_tag
285,deprecated,node,1228999544,power,sub_station,update_tag
286,deprecated,node,1231134811,power,sub_station,update_tag
287,deprecated,node,1232485426,power,sub_station,update_tag
288,deprecated,node,1238311577,power,sub_station,update_tag
289,deprecated,node,1238512922,power,sub_station,update_tag
290,deprecated,node,1238532807,power,sub_station,update_tag
291,deprecated,node,1238532880,power,sub_station,update_tag
292,deprecated,node,1238532894,power,sub_station,update_tag
293,deprecated,node,1238817203,power,sub_station,update_tag
294,deprecated,node,1238883579,power,sub_station,update_tag
295,deprecated,node,1238884378,power,sub_station,update_tag
296,deprecated,node,1239538659,power,sub_station,update_tag
297,deprecated,node,1239931991,power,sub_station,update_tag
298,deprecated,node,1241664526,power,sub_station,update_tag
299,deprecated,node,1241665660,power,sub_station,update_tag
300,deprecated,node,1241666698,power,sub_station,update_tag
301,deprecated,node,1246724328,power,sub_station,update_tag
302,deprecated,node,1248065546,power,sub_station,update_tag
303,deprecated,node,1248080294,power,sub_station,update_tag
304,deprecated,node,1248080510,power,sub_station,update_tag
305,deprecated,node,1248127262,power,sub_station,update_tag
306,deprecated,node,1248258507,power,sub_station,update_tag
307,deprecated,node,1248420411,power,sub_station,update_tag
308,deprecated,node,1248420702,power,sub_station,update_tag
309,deprecated,node,1248421795,power,sub_station,update_tag
310,deprecated,node,1248480710,power,sub_station,update_tag
311,deprecated,node,1250315023,power,sub_station,update_tag
312,deprecated,node,1250377698,power,sub_station,update_tag
313,deprecated,node,1252177857,power,sub_station,update_tag
314,deprecated,node,1252178068,power,sub_station,update_tag
315,deprecated,node,1255128462,power,sub_station,update_tag
316,deprecated,node,1256456744,power,sub_station,update_tag
317,deprecated,node,1256815660,power,sub_station,update_tag
318,deprecated,node,1256816090,power,sub_station,update_tag
319,deprecated,node,1257919510,power,sub_station,update_tag
320,deprecated,node,1257919592,power,sub_station,update_tag
321,deprecated,node,1257920112,power,sub_station,update_tag
322,deprecated,node,1260591865,power,sub_station,update_tag
323,deprecated,node,1260591995,power,sub_station,update_tag
324,deprecated,node,1260592314,power,sub_station,update_tag
325,deprecated,node,1260592573,power,sub_station,update_tag
326,deprecated,node,1260596909,power,sub_station,update_tag
327,deprecated,node,1260900663,power,sub_station,update_tag
328,deprecated,node,1260900818,power,sub_station,update_tag
329,deprecated,node,1260901075,power,sub_station,update_tag
330,deprecated,node,1260922807,power,sub_station,update_tag
331,deprecated,node,1260937363,power,sub_station,update_tag
332,deprecated,node,1260968578,power,station,update_tag
333,deprecated,node,1264968126,power,sub_station,update_tag
334,deprecated,node,1266926328,power,sub_station,update_tag
335,deprecated,node,1266926567,power,sub_station,update_tag
336,deprecated,node,1266926601,power,sub_station,update_tag
337,deprecated,node,1268488622,power,sub_station,update_tag
338,deprecated,node,1268511226,power,sub_station,update_tag
339,deprecated,node,1268883398,power,sub_station,update_tag
340,deprecated,node,1268918457,power,sub_station,update_tag
341,deprecated,node,1268918497,power,sub_station,update_tag
342,deprecated,node,1268919091,power,sub_station,update_tag
343,deprecated,node,1268961892,power,sub_station,update_tag
344,deprecated,node,1268982089,power,sub_station,update_tag
345,deprecated,node,1270216176,power,sub_station,update_tag
346,deprecated,node,1270232433,power,sub_station,update_tag
347,deprecated,node,1270252063,power,sub_station,update_tag
348,deprecated,node,1270252103,power,sub_station,update_tag
349,deprecated,node,1270252276,power,sub_station,update_tag
350,deprecated,node,1274419281,power,sub_station,update_tag
351,deprecated,node,1275686759,power,sub_station,update_tag
352,deprecated,node,1275686860,power,sub_station,update_tag
353,deprecated,node,1275686969,power,sub_station,update_tag
354,deprecated,node,1275722445,power,sub_station,update_tag
355,deprecated,node,1275871525,power,sub_station,update_tag
356,deprecated,node,1275914153,power,sub_station,update_tag
357,deprecated,node,1275914717,power,sub_station,update_tag
358,deprecated,node,1275933209,power,sub_station,update_tag
359,deprecated,node,1276935938,power,sub_station,update_tag
360,deprecated,node,1277300154,power,sub_station,update_tag
361,deprecated,node,1277300606,power,sub_station,update_tag
362,deprecated,node,1283986183,power,sub_station,update_tag
363,deprecated,node,1283987132,power,sub_station,update_tag
364,deprecated,node,1284574708,power,sub_station,update_tag
365,deprecated,node,1284780542,power,sub_station,update_tag
366,deprecated,node,1285881046,power,sub_station,update_tag
367,deprecated,node,1285911133,power,sub_station,update_tag
368,deprecated,node,1286176458,power,sub_station,update_tag
369,deprecated,node,1286242554,power,sub_station,update_tag
370,deprecated,node,1286243065,power,sub_station,update_tag
371,deprecated,node,1286311511,power,sub_station,update_tag
372,deprecated,node,1286468308,power,sub_station,update_tag
373,deprecated,node,1286557534,power,sub_station,update_tag
374,deprecated,node,1294361559,power,sub_station,update_tag
375,deprecated,node,1296129398,power,sub_station,update_tag
376,deprecated,node,1296214938,power,sub_station,update_tag
377,deprecated,node,1296215095,power,sub_station,update_tag
378,deprecated,node,1296216009,power,sub_station,update_tag
379,deprecated,node,1296245075,power,sub_station,update_tag
380,deprecated,node,1296274811,power,sub_station,update_tag
381,deprecated,node,1296330865,power,sub_station,update_tag
382,deprecated,node,1296382502,power,sub_station,update_tag
383,deprecated,node,1303505920,building,entrance,update_tag
384,deprecated,node,1303505960,building,entrance,update_tag
385,deprecated,node,1303506000,building,entrance,update_tag
386,deprecated,node,1303506087,building,entrance,update_tag
387,deprecated,node,1303506101,building,entrance,update_tag
388,deprecated,node,1303506138,building,entrance,update_tag
389,deprecated,node,1303506149,building,entrance,update_tag
390,deprecated,node,1303506169,building,entrance,update_tag
391,deprecated,node,1303506225,building,entrance,update_tag
392,deprecated,node,1303506230,building,entrance,update_tag
393,deprecated,node,1303506268,building,entrance,update_tag
394,deprecated,node,1303506291,building,entrance,update_tag
395,deprecated,node,1303506315,building,entrance,update_tag
396,deprecated,node,1303506316,building,entrance,update_tag
397,deprecated,node,1303506327,building,entrance,update_tag
398,deprecated,node,1303506338,building,entrance,update_tag
399,deprecated,node,1303506378,building,entrance,update_tag
400,deprecated,node,1303506383,building,entrance,update_tag
401,deprecated,node,1303506475,building,entrance,update_tag
402,deprecated,node,1303506521,building,entrance,update_tag
403,deprecated,node,1303506522,building,entrance,update_tag
404,deprecated,node,1303506557,building,entrance,update_tag
405,deprecated,node,1303506588,building,entrance,update_tag
406,deprecated,node,1303506730,building,entrance,update_tag
407,deprecated,node,1303506749,building,entrance,update_tag
408,deprecated,node,1303506755,building,entrance,update_tag
409,deprecated,node,1303506847,building,entrance,update_tag
410,deprecated,node,1303506891,building,entrance,update_tag
411,deprecated,node,1303506900,building,entrance,update_tag
412,deprecated,node,1303506932,building,entrance,update_tag
413,deprecated,node,1303506956,building,entrance,update_tag
414,deprecated,node,1303506963,building,entrance,update_tag
415,deprecated,node,1303507018,building,entrance,update_tag
416,deprecated,node,1303507046,building,entrance,update_tag
417,deprecated,node,1303507062,building,entrance,update_tag
418,deprecated,node,1303507212,building,entrance,update_tag
419,deprecated,node,1303507227,building,entrance,update_tag
420,deprecated,node,1303507437,building,entrance,update_tag
421,deprecated,node,1303507455,building,entrance,update_tag
422,deprecated,node,1303507643,building,entrance,update_tag
423,deprecated,node,1303813011,power,sub_station,update_tag
424,deprecated,node,1304491539,power,sub_station,update_tag
425,deprecated,node,1304508287,power,sub_station,update_tag
426,deprecated,node,1304574965,power,sub_station,update_tag
427,deprecated,node,1304575436,power,sub_station,update_tag
428,deprecated,node,1304585225,power,sub_station,update_tag
429,deprecated,node,1304718737,power,sub_station,update_tag
430,deprecated,node,1304843809,power,sub_station,update_tag
431,deprecated,node,1304843935,power,sub_station,update_tag
432,deprecated,node,1304844231,power,sub_station,update_tag
433,deprecated,node,1304858308,power,sub_station,update_tag
434,deprecated,node,1304913302,power,sub_station,update_tag
435,deprecated,node,1307552509,power,sub_station,update_tag
436,deprecated,node,1311091527,power,sub_station,update_tag
437,deprecated,node,1311091968,power,sub_station,update_tag
438,deprecated,node,1311092149,power,sub_station,update_tag
439,deprecated,node,1311092292,power,sub_station,update_tag
440,deprecated,node,1311739488,power,sub_station,update_tag
441,deprecated,node,1311788113,power,sub_station,update_tag
442,deprecated,node,1311865205,power,sub_station,update_tag
443,deprecated,node,1311918470,power,sub_station,update_tag
444,deprecated,node,1311918855,power,sub_station,update_tag
445,deprecated,node,1312110896,power,sub_station,update_tag
446,deprecated,node,1312715839,power,sub_station,update_tag
447,deprecated,node,1313040305,power,sub_station,update_tag
448,deprecated,node,1313044471,power,sub_station,update_tag
449,deprecated,node,1313120723,power,sub_station,update_tag
450,deprecated,node,1313121009,power,sub_station,update_tag
451,deprecated,node,1313121202,power,sub_station,update_tag
452,deprecated,node,1313121424,power,sub_station,update_tag
453,deprecated,node,1313121529,power,sub_station,update_tag
454,deprecated,node,1313130550,power,sub_station,update_tag
455,deprecated,node,1313130955,power,sub_station,update_tag
456,deprecated,node,1313130964,power,sub_station,update_tag
